city_clean,country_norm,region_nuts,Access to large green spaces_rescaled,Surrounding greenness_rescaled,Universal access to green spaces_rescaled,Opportunity to walk_rescaled,Opportunity to cycle_rescaled,Air quality (NO2)_rescaled,Air quality (PM2.5)_rescaled,Lower urban heat islands_rescaled,Public transport stops_rescaled,Permeability_rescaled
Burnley,UK,UKD43,6.4,4.54,5.05,5.66,2.62,6.26,8.64,7.1,4.16,3.61
Zadar,HR,HR033,7.54,3.5,6.5,5.2,0.4,8.64,7.08,6.25,2.05,4.04
Santander,ES,ES130,6.73,3.47,5.3,6.92,3.23,5.64,5.35,6.81,5.52,2.45
Chesterfield,UK,UKE12,6.82,4.91,5.66,5.5,3.16,6.36,8.01,7.37,4.27,3.62
Benidorm,ES,ES521,7.04,4.35,3.66,4.84,4.03,7.34,7.03,7.56,3.51,4.47
Halton,UK,UKD36,6.26,4.21,5.2,5.9,4.52,5.1,7.93,7.41,3.49,2.93
Peterborough,UK,UKH12,6.15,3.94,5.64,5.2,5.69,6.79,8.08,7.0,2.08,4.32
Gouda,NL,NL33B,5.93,2.7,5.17,6.79,6.02,3.88,6.53,7.68,3.25,3.24
Zoetermeer,NL,NL332,5.67,3.34,5.92,8.24,6.35,2.5,6.39,7.05,2.32,3.3
Koszalin,PL,PL426,5.41,4.9,4.62,8.16,3.98,8.2,7.72,6.81,3.37,2.59
Preov,SK,SK041,6.06,5.84,4.85,8.37,2.45,8.13,4.36,7.02,3.78,4.21
Szeged,HU,HU333,6.92,3.67,5.73,5.23,3.65,7.94,4.67,7.52,2.96,3.61
Bayonne,FR,FRI31,7.55,3.7,5.64,5.03,3.07,6.87,6.98,6.93,3.59,2.92
Guadalajara,ES,ES424,5.62,5.18,5.47,6.53,3.66,5.35,7.17,7.21,1.58,3.32
Corby,UK,UKF24,6.79,4.95,5.05,4.7,2.08,7.09,8.36,7.37,0.96,2.82
Trento,IT,ITH20,7.73,5.5,5.87,6.76,4.07,5.36,4.75,4.42,4.76,4.89
Warwick,UK,UKG13,6.23,4.51,5.31,7.16,3.19,6.47,8.16,7.12,3.43,4.19
Dacorum,UK,UKH23,6.45,4.8,5.33,5.96,2.06,6.0,8.17,7.03,3.68,4.85
Ashford,UK,UKJ42,5.51,5.49,5.06,6.55,4.61,7.03,7.89,7.04,3.4,4.89
Basildon,UK,UKH34,6.95,4.13,5.57,6.64,2.74,5.49,7.7,7.18,3.28,3.93
Solingen,DE,DEA19,7.27,4.46,6.63,7.08,1.11,3.54,6.37,6.76,3.26,3.34
Ourense,ES,ES113,7.31,5.71,5.22,5.47,0.53,7.1,7.66,6.54,1.15,5.43
Sopron,HU,HU221,6.56,3.06,5.37,5.7,3.57,7.91,4.81,7.09,3.26,3.17
Arras,FR,FRE12,6.68,3.47,6.11,5.85,2.79,6.16,6.7,6.66,3.79,3.19
Walbrzych,PL,PL517,5.22,7.66,4.33,7.42,1.89,7.85,4.82,7.13,2.97,6.46
Middlesbrough,UK,UKC14,6.58,3.87,3.91,5.15,3.86,6.86,8.61,7.59,2.39,1.73
Torbay,UK,UKK42,6.96,2.12,5.71,5.09,0.96,8.12,8.32,7.38,5.92,2.93
Manresa,ES,ES511,6.03,4.59,5.0,5.63,2.1,4.7,5.62,7.22,3.45,3.89
Jena,DE,DEG03,5.9,4.53,4.84,7.95,1.8,7.26,6.71,6.26,2.61,3.36
Stavanger,NO,NO043,5.23,3.64,4.19,7.07,5.11,8.42,8.97,7.49,3.68,3.05
Darlington,UK,UKC13,6.26,4.21,4.63,4.84,2.71,7.92,8.46,7.16,1.57,2.82
Mansfield,UK,UKF16,6.14,3.56,4.84,5.6,2.38,6.09,8.09,7.26,5.09,2.84
Colchester,UK,UKH32,6.66,5.11,4.75,5.43,4.19,7.4,7.95,7.15,2.91,4.29
Greifswald,DE,DE803,5.42,4.54,4.24,9.04,2.12,8.53,6.88,7.16,2.01,2.64
Pisa,IT,ITI17,6.42,4.19,5.96,5.58,4.19,5.16,4.91,6.65,4.71,4.83
Leuven,BE,BE24,6.34,4.47,5.24,5.98,5.64,4.16,6.1,7.14,3.17,4.91
Hyndburn,UK,UKD45,6.47,5.25,4.65,5.19,2.61,6.4,8.82,7.39,2.12,3.7
Arnhem,NL,NL226,5.82,4.22,5.58,6.3,6.45,3.43,6.16,6.58,3.51,3.23
Kielce,PL,PL721,6.26,4.98,5.11,8.4,2.98,6.49,3.75,7.1,3.68,4.15
Nijmegen,NL,NL226,5.33,3.23,5.55,6.09,6.1,3.48,6.32,7.41,3.28,3.12
Belfort,FR,FRC22,7.0,4.33,6.01,5.77,4.54,7.24,6.7,6.68,1.0,3.76
Palencia,ES,ES419,3.9,3.63,5.63,6.51,3.23,6.83,7.4,7.19,3.11,2.66
Pau,FR,FRI31,7.3,3.37,5.2,5.26,2.99,7.45,7.02,5.94,3.14,2.52
Tarbes,FR,FRJ22,7.73,3.62,6.42,4.54,1.35,7.96,7.2,6.03,0.83,3.05
Pescara,IT,ITF14,5.23,2.56,5.94,4.74,3.98,5.46,5.21,7.7,4.14,3.78
Jaen,ES,ES614,5.2,4.7,3.89,6.17,2.08,7.7,7.96,8.81,2.23,5.06
Olsztyn,PL,PL622,5.2,5.53,3.51,8.56,3.62,7.26,6.48,7.02,3.44,3.35
Falkirk,UK,UKM77,5.98,6.59,5.12,6.12,2.04,7.61,9.13,7.44,1.12,3.98
Maidstone,UK,UKJ42,6.18,4.82,4.0,5.2,2.36,6.83,7.82,7.19,3.94,3.55
Viseu,PT,PT168,7.99,7.99,6.18,4.13,1.56,8.23,8.23,6.89,1.31,8.18
Chelm,PL,PL811,5.6,4.37,4.87,7.15,3.35,7.65,5.54,7.41,2.93,3.56
Zgierz,PL,PL711,6.34,5.37,4.72,8.34,0.92,6.51,4.1,7.33,2.76,5.24
Groningen,NL,NL111,5.28,3.95,4.8,6.4,6.34,5.44,6.82,7.05,3.03,2.38
Trier,DE,DEB15,5.73,5.85,4.8,7.9,0.8,6.75,6.73,6.32,4.11,4.63
Swidnica,PL,PL517,5.59,4.04,4.49,8.65,3.25,6.89,4.51,7.29,2.8,2.91
Guildford,UK,UKJ25,6.7,5.22,5.64,6.19,2.1,6.95,8.32,7.31,2.43,5.45
Hilversum,NL,NL31H,6.69,2.58,5.09,5.25,6.77,3.31,6.65,6.98,2.89,2.43
Maastricht,NL,NL423,5.64,4.14,5.37,5.31,4.76,3.5,6.18,6.97,3.42,3.36
Herne,DE,DEA56,6.36,3.94,5.72,7.23,1.01,2.3,6.0,7.12,4.13,2.8
Liberec,CZ,CZ051,6.64,4.09,5.33,5.91,2.01,7.02,5.0,6.59,3.01,4.16
Creil,FR,FR221,6.13,3.06,4.94,6.24,2.45,5.53,6.35,6.47,3.8,2.44
Ludwigsburg,DE,DE116,6.42,4.45,4.33,6.88,1.6,4.43,6.25,7.34,3.8,2.67
Sindelfingen,DE,DE114,5.14,4.9,4.5,7.92,2.13,5.78,6.84,6.53,4.02,2.45
Tychy,PL,PL22A,5.76,6.66,5.44,7.72,2.73,5.37,2.42,6.92,3.75,4.14
Amersfoort,NL,NL31U,5.97,2.5,5.27,5.98,5.93,3.07,6.64,7.06,2.94,2.18
Cherbourg,FR,FRD12,6.29,4.17,4.41,5.63,3.26,6.53,7.09,7.13,2.87,3.8
Iserlohn,DE,DEA57,6.04,5.92,5.3,6.26,3.1,4.96,6.7,7.04,4.27,3.99
Molfetta,IT,ITF47,7.95,1.84,3.74,2.7,3.1,6.83,5.26,8.8,0.89,2.0
Avellino,IT,ITF34,8.87,4.96,8.19,3.27,0.0,5.7,5.03,7.07,0.3,4.64
Linz,AT,AT31,5.65,4.15,5.13,9.25,2.38,3.81,6.16,6.64,3.65,2.51
Bedford,UK,UKH21,5.86,5.07,4.62,5.3,4.27,6.89,8.25,6.83,1.26,3.92
Carlisle,UK,UKD13,5.15,4.53,4.09,4.91,2.22,8.71,8.85,7.12,4.36,3.99
Assen,NL,NL131,5.32,2.89,4.97,7.31,6.33,6.13,6.98,7.09,2.52,2.38
Tczew,PL,PL634,4.97,3.85,3.67,8.36,4.24,7.14,6.4,7.37,3.66,2.79
Thurrock,UK,UKH34,6.74,5.25,5.14,4.97,4.04,5.3,7.65,7.27,3.75,3.27
Wycombe,UK,UKJ13,6.43,4.74,5.08,6.0,1.09,6.82,8.24,6.93,1.55,5.17
Rugby,UK,UKG13,5.9,5.36,5.12,5.68,3.26,6.79,8.35,7.21,3.29,3.39
Hengelo,NL,NL211,5.64,3.17,5.18,5.87,6.08,5.45,6.49,6.73,2.21,2.47
Torrevieja,ES,ES521,3.91,3.89,6.2,6.56,2.33,6.92,6.41,7.62,2.93,4.23
Pabianice,PL,PL711,6.89,4.13,3.75,8.14,2.28,6.21,4.28,7.14,3.05,4.28
Leszno,PL,PL417,5.22,3.82,5.93,6.88,1.86,6.88,5.77,7.04,3.61,1.66
Veenendaal,NL,NL31U,5.04,2.89,5.14,5.15,7.43,4.63,6.68,7.3,1.76,1.82
Plzen,CZ,CZ032,5.37,5.28,4.64,7.65,4.7,6.5,5.67,6.92,3.0,2.98
Oldenburg,DE,DE922,6.3,2.49,4.83,6.46,3.83,6.18,6.66,7.0,3.34,2.11
Kettering,UK,UKF24,5.81,4.64,4.49,6.04,0.82,7.26,8.35,7.08,3.86,3.32
Annecy,FR,FRK27,7.14,3.64,4.82,5.87,2.34,5.86,6.75,6.38,3.73,2.53
Inowroclaw,PL,PL617,4.95,5.01,4.4,8.26,1.85,6.88,4.99,7.46,3.14,2.64
Innsbruck,AT,AT33,6.92,3.74,6.08,6.81,3.55,5.33,6.28,0.0,4.75,3.35
Enschede,NL,NL211,5.83,3.75,5.17,6.5,5.04,5.21,6.4,6.67,2.33,2.78
Troyes,FR,FRF23,7.17,2.59,3.6,6.37,3.66,6.61,6.49,6.87,4.08,2.12
Bayreuth,DE,DE221,6.27,4.05,4.24,7.76,0.71,5.09,6.9,6.58,4.13,3.49
Kassel,DE,DE734,5.95,3.74,5.07,7.44,1.55,5.81,6.78,7.07,3.76,1.92
Evry,FR,FR107,6.2,3.87,4.26,6.93,3.41,3.69,5.94,7.59,4.12,2.94
Flensburg,DE,DEF01,5.54,4.24,4.4,8.02,1.36,6.83,7.08,7.57,3.61,2.82
Sibiu,RO,RO126,7.28,2.01,4.03,5.13,1.06,7.24,6.67,6.48,2.93,1.14
Deventer,NL,NL212,5.17,4.67,4.94,5.8,5.55,5.1,6.49,6.96,2.44,3.9
Annemasse,FR,FRK27,7.21,2.68,6.59,6.84,2.0,5.32,6.39,6.05,2.27,2.36
Reutlingen,DE,DE141,6.6,3.91,4.52,5.97,2.03,5.97,6.69,7.19,3.69,2.56
Grosseto,IT,ITI18,6.06,4.48,5.43,4.19,3.28,7.03,6.2,7.09,0.14,4.01
Varese,IT,ITC13,8.19,4.23,5.83,3.84,0.75,4.41,2.82,7.67,1.97,4.52
Savona,IT,ITC31,7.26,3.37,5.36,5.45,2.59,4.75,4.15,4.89,2.17,3.08
Maribor,SI,SI032,6.95,4.11,4.74,5.76,4.11,7.56,3.97,6.28,2.91,3.38
Kladno,CZ,CZ020,5.59,4.85,4.29,7.12,1.89,6.29,5.74,7.19,3.72,2.77
Regensburg,DE,DE232,5.41,3.99,4.23,8.3,2.02,4.87,6.52,7.22,4.11,3.15
Konstanz,DE,DE138,5.63,3.54,4.21,7.39,2.35,7.29,6.78,6.63,3.72,3.4
Leverkusen,DE,DEA24,6.17,4.96,5.16,7.09,2.83,2.95,6.1,7.23,3.31,3.12
Ferrara,IT,ITH57,6.68,5.63,6.24,4.11,5.34,4.96,2.52,7.1,2.99,5.83
Thanet,UK,UKJ42,4.56,2.6,4.98,5.54,2.72,6.39,7.8,7.51,4.87,3.08
Melun,FR,FR104,7.02,2.78,4.21,5.6,2.71,5.16,6.44,6.76,3.61,3.34
Legnica,PL,PL516,5.26,5.69,3.46,7.67,2.55,7.09,5.0,7.33,2.85,3.22
Olomouc,CZ,CZ071,5.5,5.17,4.71,7.76,2.92,6.12,3.42,7.06,3.19,3.69
Rosenheim,DE,DE21D,7.06,6.99,5.59,6.71,1.12,7.2,6.51,7.04,3.68,3.33
Erlangen,DE,DE252,6.22,4.33,4.7,7.85,1.71,5.33,6.54,7.09,3.79,3.24
Ancona,IT,ITI31,6.12,5.21,4.65,5.36,0.54,6.04,5.88,7.45,3.15,5.3
Sassari,IT,ITG28,6.28,3.97,5.37,3.12,2.28,7.59,6.95,8.37,0.19,3.86
Split,HR,HR035,3.71,3.16,4.73,6.72,0.59,8.04,7.29,5.74,3.35,4.01
Galway,IE,IE013,5.39,6.4,5.26,6.44,1.05,9.62,9.1,7.34,3.54,3.5
Eastbourne,UK,UKJ22,4.93,2.22,4.26,4.72,2.74,6.83,7.27,7.47,4.54,2.43
Recklinghausen,DE,DEA36,6.5,4.81,5.33,6.93,1.11,2.96,6.04,7.12,3.23,3.0
Pforzheim,DE,DE123,6.43,5.02,4.43,6.4,0.97,5.75,6.57,6.63,4.6,2.98
Gera,DE,DEG02,5.9,5.56,5.13,6.82,2.15,6.16,6.54,6.53,2.67,4.02
Brescia,IT,ITC47,7.2,3.5,6.76,6.05,4.39,1.57,0.0,7.57,4.96,2.53
Ruse,BG,BG323,5.31,3.98,4.26,4.91,3.16,7.55,5.9,7.17,2.93,2.72
Zaanstad,NL,NL326,5.29,4.23,4.59,6.29,5.47,3.73,6.63,7.08,2.57,4.07
Valdemoro,ES,ES300,3.79,4.84,4.06,6.03,1.46,5.23,6.81,8.58,4.15,2.08
Cremona,IT,ITC48,7.87,4.09,6.7,3.33,5.86,3.8,1.0,6.76,0.24,3.45
Almelo,NL,NL211,5.15,3.89,4.66,5.59,5.95,5.54,6.57,7.06,2.49,2.67
Lugo,ES,ES112,6.11,5.23,4.61,7.46,1.33,7.82,7.46,6.35,2.3,5.67
Wrexham,UK,UKL13,5.68,5.64,5.4,5.2,2.35,7.83,8.04,7.51,1.2,3.81
Zwolle,NL,NL213,5.08,4.57,4.83,6.27,5.42,5.3,6.58,6.79,2.41,3.33
Remscheid,DE,DEA18,6.64,5.99,5.7,6.25,0.79,4.36,6.69,6.98,4.05,3.85
Torrelavega,ES,ES130,7.3,5.14,5.55,6.27,3.39,5.72,5.99,7.31,0.93,5.09
Namur,BE,BE35,6.52,6.08,4.56,4.72,3.16,6.03,6.54,6.86,2.96,7.42
Gravesham,UK,UKJ41,5.4,3.65,5.52,4.7,2.34,5.62,7.7,6.85,3.55,3.06
Paredes,PT,PT11A,8.39,8.52,4.43,2.05,0.62,6.85,6.6,7.57,0.62,8.04
Ingolstadt,DE,DE214,5.55,4.77,4.19,6.97,2.05,6.16,6.36,6.86,3.75,3.15
Hagen,DE,DEA53,5.95,5.28,5.19,7.36,1.15,4.0,6.48,6.74,4.35,3.59
Tarragona,ES,ES514,4.87,4.21,4.42,6.53,2.51,4.95,5.43,7.33,4.77,4.34
Foggia,IT,ITF45,5.59,1.18,5.01,3.22,3.33,6.82,5.1,8.03,2.15,2.23
Como,IT,ITC14,7.75,4.09,5.91,4.26,1.0,3.0,1.77,7.54,3.09,3.57
Lubin,PL,PL516,4.34,5.64,3.23,8.62,2.79,6.82,5.46,6.87,2.51,2.51
Lahti,FI,FI196,4.27,4.75,4.0,5.51,9.36,9.33,9.65,7.38,3.9,4.54
Poitiers,FR,FRI22,6.56,4.01,4.53,5.32,1.92,7.07,6.84,6.49,2.17,4.83
Odense,DK,DK031,5.45,4.98,4.94,5.96,4.91,7.58,7.16,7.09,1.5,3.99
Darmstadt,DE,DE711,5.79,4.34,4.56,8.04,2.43,4.72,6.46,6.25,2.77,2.37
Piacenza,IT,ITH51,7.24,2.91,6.54,4.83,4.7,4.38,1.72,6.72,1.27,2.47
Rybnik,PL,PL227,6.51,6.64,6.41,7.31,1.3,6.54,1.94,6.93,1.93,6.32
Helmond,NL,NL414,5.54,3.72,5.07,4.74,7.18,3.97,6.27,7.13,1.83,2.35
Volos,EL,EL142,7.16,2.9,3.44,2.44,2.76,7.13,4.5,7.51,3.36,3.15
Brest,FR,FRH02,6.51,3.25,4.76,5.77,1.8,7.4,7.28,6.76,3.4,2.51
Cottbus,DE,DE403,5.51,3.49,4.92,8.52,1.69,6.99,6.05,7.23,2.89,2.49
Witten,DE,DEA54,6.44,5.37,5.47,7.45,0.66,3.8,6.26,7.15,2.65,3.69
Zamora,ES,ES414,4.2,4.97,4.53,4.33,2.83,7.31,7.51,7.68,2.4,3.91
Udine,IT,ITH42,4.8,3.76,6.31,5.36,3.57,5.23,3.17,7.18,4.79,3.27
Giessen,DE,DE722,5.24,4.7,4.36,7.47,0.75,4.86,6.9,6.86,3.58,2.82
Lecce,IT,ITF44,5.34,2.8,5.64,5.45,2.57,6.38,4.72,7.42,2.15,4.1
Kristiansand,NO,NO042,5.02,5.33,3.99,5.22,7.49,9.44,9.16,7.34,4.06,5.71
Lelystad,NL,NL230,3.94,3.81,4.88,6.53,6.22,5.58,6.13,7.04,1.84,4.1
Siegen,DE,DEA5A,6.47,5.72,5.17,5.7,0.97,6.21,7.05,6.46,4.65,3.8
Szombathely,HU,HU222,5.79,1.92,4.16,5.32,4.64,7.78,4.59,6.92,3.37,3.21
Potsdam,DE,DE401,5.54,4.16,4.54,8.32,1.37,7.0,6.14,7.09,2.84,3.39
Ulm,DE,DE144,5.51,5.35,4.05,8.66,1.74,6.16,6.79,6.79,3.24,2.92
Hildesheim,DE,DE926,5.38,4.7,4.34,6.92,4.25,6.24,6.49,6.89,3.25,2.12
Gandia,ES,ES523,2.17,4.16,5.28,5.16,4.51,6.54,6.24,7.58,0.76,3.66
Parma,IT,ITH51,6.28,4.67,5.72,4.59,5.94,4.36,2.28,7.27,1.19,4.07
Arezzo,IT,ITI19,5.96,6.82,4.59,4.61,3.45,6.17,5.92,5.78,0.79,6.42
Brindisi,IT,ITF42,6.31,2.6,2.99,4.65,1.62,6.37,5.14,8.1,4.14,4.86
Helsingborg,SE,SE224,4.59,5.5,4.33,7.53,4.97,6.71,8.23,7.08,2.17,3.69
Apeldoorn,NL,NL221,5.33,3.78,5.1,5.7,6.13,5.17,6.5,6.31,1.8,3.64
Zwickau,DE,DED44,5.98,4.78,4.76,6.69,2.72,6.76,6.61,6.67,2.72,3.48
Pontevedra,ES,ES114,7.11,6.76,5.03,4.58,1.77,6.95,7.42,6.93,0.4,7.8
Reus,ES,ES514,4.15,3.93,4.18,5.13,3.36,5.22,6.08,7.63,3.04,3.26
Pesaro,IT,ITI32,6.1,4.74,3.99,4.22,3.56,6.26,5.36,7.46,0.62,4.47
Kaiserslautern,DE,DEB32,5.03,5.47,3.89,6.84,2.71,5.85,7.0,6.23,4.06,3.83
Braga,PT,PT111,6.82,5.26,4.44,4.59,1.32,5.79,7.09,6.35,1.6,4.4
Schwerin,DE,DE802,4.78,4.21,4.16,8.36,2.85,7.87,6.98,7.46,3.01,3.53
Leeuwarden,NL,NL112,4.32,2.92,4.38,7.22,5.99,6.22,6.82,6.6,2.7,2.38
Lleida,ES,ES513,4.47,5.43,3.63,5.03,4.62,6.24,5.24,6.7,2.45,5.22
Botosani,RO,RO212,6.96,2.48,2.55,5.02,0.0,7.2,6.41,7.61,0.93,2.44
Versailles,FR,FR102,5.91,3.42,4.03,6.85,2.75,2.85,5.92,7.32,4.42,2.79
Zabrze,PL,PL22A,5.47,6.92,4.82,7.68,1.63,4.81,2.18,7.23,2.8,4.22
Yambol,BG,BG345,4.84,3.2,3.49,3.68,0.0,7.49,6.56,7.34,3.82,2.57
Nitra,SK,SK023,6.13,5.16,2.97,6.55,1.49,7.49,4.58,7.22,3.21,3.12
Bottrop,DE,DEA31,5.76,5.21,5.32,6.58,1.13,3.44,6.06,6.71,3.07,3.85
Modena,IT,ITH53,6.18,4.42,5.66,5.18,4.86,2.29,2.75,6.87,3.58,3.48
Rimini,IT,ITH59,5.78,4.04,4.69,3.74,3.96,5.61,4.96,7.82,1.81,3.87
Moers,DE,DEA1B,6.11,4.98,4.56,6.59,1.38,3.29,5.97,7.26,2.29,2.96
Bremerhaven,DE,DE502,5.11,4.42,3.61,6.11,1.41,6.41,6.53,7.17,3.11,1.59
Trondheim,NO,NO061,4.1,5.51,3.18,6.33,7.03,9.28,9.54,6.41,3.73,4.44
Roosendaal,NL,NL411,5.06,3.81,4.96,5.63,6.5,3.52,6.32,6.85,1.69,4.58
Prato,IT,ITI13,3.8,4.62,4.68,4.45,4.78,3.65,4.95,7.46,4.92,3.94
Hartlepool,UK,UKC12,5.29,3.81,3.61,3.97,2.64,7.26,8.47,7.41,1.12,1.65
Amiens,FR,FRE21,5.63,4.32,4.09,5.32,1.81,5.7,6.47,6.59,1.43,4.36
Chelmsford,UK,UKH34,6.8,4.99,5.23,5.74,3.6,6.38,7.9,6.96,2.82,4.21
Alcoy,ES,ES521,3.76,4.06,3.28,4.63,3.06,7.5,7.75,6.2,2.34,5.35
Opole,PL,PL524,5.27,5.66,4.28,6.39,1.64,5.9,3.3,7.22,3.22,5.07
Worthing,UK,UKJ22,4.15,1.33,4.11,4.15,2.13,6.56,7.64,7.09,5.27,1.39
Meaux,FR,FR104,6.09,4.45,3.28,4.86,3.22,5.67,6.35,6.59,2.99,4.52
Bamberg,DE,DE241,5.94,2.56,3.24,7.1,0.5,5.41,6.63,6.25,4.42,2.57
Salerno,IT,ITF35,5.97,3.64,4.75,3.75,1.43,5.13,4.7,7.22,0.4,2.88
Novara,IT,ITC15,6.53,3.85,5.36,4.39,3.5,3.3,1.69,6.23,4.46,2.28
Bourges,FR,FRB01,6.27,5.37,3.92,4.79,2.65,7.73,6.71,7.08,2.57,3.22
Koblenz,DE,DEB11,5.33,4.19,4.3,7.17,1.26,4.73,6.71,6.61,3.98,3.3
Rostock,DE,DE803,4.5,5.23,4.32,9.24,2.02,7.52,6.87,6.88,2.41,2.23
Caserta,IT,ITF31,6.65,4.48,4.45,3.89,1.99,3.93,4.11,6.17,0.4,4.19
Neuss,DE,DEA1D,5.15,5.08,4.36,8.05,1.44,3.5,6.12,7.24,3.02,3.08
Breda,NL,NL411,4.71,3.98,5.4,5.23,5.98,3.42,6.38,6.8,1.87,3.65
Vicenza,IT,ITH32,6.71,4.68,5.39,4.57,3.12,4.27,0.43,7.05,2.46,4.52
Friedrichshafen,DE,DE148,6.09,5.54,4.53,7.12,3.87,7.05,6.29,6.86,3.71,4.33
Granollers,ES,ES511,3.79,3.97,4.7,5.44,2.56,3.04,5.41,7.69,3.89,2.48
Latina,IT,ITI45,4.52,4.82,6.57,4.41,2.0,7.09,5.05,7.3,0.34,4.87
Altamura,IT,ITF47,6.67,3.54,2.5,1.5,0.65,6.77,5.99,8.07,1.42,2.65
Most,CZ,CZ042,3.47,5.54,2.66,7.7,3.47,5.7,5.52,7.33,3.35,3.01
Paderborn,DE,DEA47,4.96,3.9,4.6,8.2,1.18,6.68,6.57,7.13,3.52,2.85
Pavia,IT,ITC48,7.9,5.13,5.95,4.83,4.67,4.62,1.85,6.67,4.02,4.05
Perugia,IT,ITI21,6.3,6.75,4.39,4.03,1.17,6.57,5.83,7.59,2.94,6.54
Cuenca,ES,ES422,5.72,5.48,5.47,7.19,2.13,7.71,8.74,3.6,1.1,3.46
Kalisz,PL,PL416,4.84,5.05,2.67,5.65,3.97,6.37,5.06,7.29,3.37,3.52
Klagenfurt,AT,AT21,5.68,3.5,4.39,6.12,3.75,5.3,6.26,6.6,3.11,2.52
Valenciennes,FR,FRE12,5.9,4.97,3.98,4.39,2.1,5.51,6.15,6.91,2.5,5.26
Heidelberg,DE,DE125,4.84,2.95,3.98,7.55,1.76,4.72,6.4,8.15,4.06,3.19
Badajoz,ES,ES431,4.59,3.12,4.49,6.24,2.39,7.8,7.13,8.74,0.82,4.17
Gela,IT,ITG14,4.04,1.67,5.83,3.66,0.0,7.58,4.9,7.67,0.37,2.56
Slatina,RO,RO414,5.56,3.78,3.09,4.01,0.0,7.39,5.12,7.41,1.3,3.76
ilina,SK,SK031,5.73,4.25,3.37,7.26,1.69,7.32,3.99,6.59,2.84,2.77
Weimar,DE,DEG05,5.72,6.02,4.54,7.22,0.49,7.29,6.66,7.06,3.6,3.42
Heilbronn,DE,DE115,5.22,4.13,3.79,7.25,1.14,5.4,6.32,7.16,3.58,3.0
Osijek,HR,HR025,3.96,4.74,3.27,6.61,3.7,8.02,4.41,7.73,2.18,4.48
Vannes,FR,FRH03,6.11,5.53,3.86,5.36,2.39,8.85,7.01,7.18,1.62,5.06
Colmar,FR,FRF12,5.92,3.51,2.95,3.36,4.14,6.3,6.42,6.24,2.75,2.93
Lorient,FR,FRH03,5.76,4.48,4.57,5.54,2.46,8.42,7.02,7.0,3.01,4.04
Gniezno,PL,PL418,5.88,5.33,4.98,7.99,1.37,6.94,5.25,7.28,3.34,3.78
Mons,BE,BE32,5.77,6.16,5.35,4.98,3.72,5.45,6.25,7.16,2.57,6.7
Marbella,ES,ES617,5.65,4.54,4.33,4.51,1.76,6.77,6.62,7.9,1.59,6.88
Terni,IT,ITI22,5.97,5.45,4.33,3.06,1.64,6.39,5.62,4.07,0.25,6.05
Pleven,BG,BG314,4.86,3.13,2.38,3.17,1.47,7.79,6.25,6.77,2.7,2.92
Venlo,NL,NL422,5.07,4.98,4.74,5.15,5.66,4.47,6.27,6.94,1.57,3.61
Xanthi,EL,EL511,5.8,3.85,2.95,1.84,0.0,8.13,4.73,6.64,0.25,2.93
Potenza,IT,ITF51,6.16,6.13,3.37,2.95,0.0,8.32,7.29,7.01,2.16,8.47
Kavala,EL,EL515,6.9,3.8,4.41,3.25,0.0,7.55,4.73,7.37,5.6,3.8
Pardubice,CZ,CZ053,5.19,6.39,4.37,7.85,3.94,6.45,5.16,7.25,3.23,3.31
Wolfsburg,DE,DE913,5.15,6.12,4.85,7.27,3.25,7.18,6.7,6.93,2.92,3.42
Gliwice,PL,PL22A,5.06,6.22,3.86,8.46,1.98,5.2,2.28,7.0,2.53,4.16
Anzio,IT,ITI43,7.55,5.4,4.5,2.16,1.54,8.09,5.58,7.34,0.14,4.96
Plock,PL,PL922,3.94,5.46,3.65,8.11,4.11,6.17,4.72,7.42,3.44,3.58
Douai,FR,FRE12,5.65,5.76,3.65,4.45,2.94,5.64,6.22,7.06,2.43,5.33
Hamm,DE,DEA55,5.42,5.36,4.35,6.98,1.72,5.2,6.28,7.02,3.34,3.54
Quimper,FR,FRH02,6.32,4.69,5.54,5.49,1.7,8.48,7.4,6.83,2.72,4.51
Hanau,DE,DE71E,5.4,4.59,3.79,6.38,1.36,3.66,6.42,6.44,4.2,2.27
Kuopio,FI,FI1C2,3.18,4.62,3.05,7.25,8.29,9.42,9.52,7.24,3.88,5.07
Ponferrada,ES,ES418,6.21,6.73,4.0,4.19,1.85,8.34,8.06,3.84,2.06,6.86
Livorno,IT,ITI16,3.31,1.6,6.68,5.31,2.96,5.66,4.91,6.06,3.79,2.61
Chania,EL,EL432,7.12,3.57,3.72,2.39,0.0,7.72,5.72,7.89,4.11,3.38
Roanne,FR,FRK24,6.3,2.77,3.28,4.45,1.83,6.72,6.47,6.85,2.18,2.01
Bergamo,IT,ITC16,3.51,3.24,6.54,5.31,4.75,2.78,0.61,7.22,4.66,1.79
Miskolc,HU,HU311,5.31,3.96,2.56,4.04,1.85,7.4,4.8,6.11,3.09,3.58
Chartres,FR,FRB06,4.98,4.44,3.18,4.92,2.91,7.17,6.69,6.73,1.93,4.5
Plauen,DE,DED43,6.62,4.35,5.62,6.11,2.57,6.03,6.59,6.78,2.36,2.54
Coimbra,PT,PT166,6.0,7.53,2.83,3.9,1.69,6.8,6.95,7.09,3.0,7.2
Valence,FR,FRK25,6.07,4.04,3.16,4.82,2.6,5.41,6.2,6.83,2.97,2.62
