city_clean,country_norm,region_nuts,Access to large green spaces_rescaled,Surrounding greenness_rescaled,Universal access to green spaces_rescaled,Opportunity to walk_rescaled,Opportunity to cycle_rescaled,Air quality (NO2)_rescaled,Air quality (PM2.5)_rescaled,Lower urban heat islands_rescaled,Public transport stops_rescaled,Permeability_rescaled
Zamosc,PL,PL812,6.85,4.15,5.52,9.0,1.31,6.36,5.69,8.48,3.09,3.73
Passau,DE,DE222,6.55,6.41,6.05,5.12,2.76,5.03,6.53,7.9,3.24,6.1
Grudziadz,PL,PL616,5.14,6.59,4.81,8.69,2.61,6.87,5.64,8.82,0.83,3.02
Sassuolo,IT,ITH53,7.69,3.83,5.35,4.67,5.28,1.93,2.78,7.3,3.1,2.53
Jihlava,CZ,CZ063,5.91,5.83,3.91,7.81,3.51,6.65,5.7,6.98,3.14,4.12
Dobrich,BG,BG332,6.21,2.39,4.65,3.93,1.13,6.68,6.83,8.21,2.35,2.3
Siedlce,PL,PL912,6.32,3.79,3.54,8.16,2.38,6.27,4.63,8.28,1.53,2.86
Gallarate,IT,ITC13,8.32,2.24,6.43,3.19,2.93,0.17,1.75,7.2,2.69,1.26
Slupsk,PL,PL636,5.11,3.79,2.5,7.75,2.15,6.78,7.76,7.73,5.06,2.05
Roman,RO,RO214,6.24,3.07,2.66,2.52,0.0,7.77,6.03,8.44,0.12,2.76
Pazardzhik,BG,BG423,5.97,2.36,2.88,3.57,0.0,7.39,6.12,7.97,0.08,0.97
Lomza,PL,PL842,3.36,6.37,2.89,8.15,3.77,6.56,5.65,9.19,3.29,4.38
Battipaglia,IT,ITF35,4.07,3.21,4.83,2.84,0.51,5.12,5.03,8.6,0.42,2.67
Frankenthal,DE,DEB31,3.45,4.68,3.61,7.01,1.84,3.29,6.19,8.44,3.3,3.84
Vidin,BG,BG311,5.53,2.99,2.39,3.38,0.0,7.33,5.34,9.73,0.26,2.67
Wloclawek,PL,PL619,4.34,3.61,3.14,7.43,3.68,6.89,4.72,8.01,3.79,2.76
Waterford,IE,IE024,3.57,4.51,2.87,3.27,0.67,9.29,8.82,8.56,1.43,3.17
Saronno,IT,ITC13,3.99,2.85,3.91,3.38,4.56,0.95,0.0,8.79,3.99,1.86
Vratsa,BG,BG313,3.23,2.95,2.88,3.66,0.0,8.12,6.41,7.99,1.34,1.89
Lecco,IT,ITC19,7.37,2.9,5.08,5.55,1.13,2.05,2.86,0.0,2.13,2.17
